61642,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61642.py,https://github.com/tensorflow/tensorflow/issues/61642,2.13.0,['2.13.0'],"['MaxPooling1D', 'MaxPool', 'pool']",MaxPooling1D,s,
61605,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61605.py,https://github.com/tensorflow/tensorflow/issues/61605,2.13.0,['2.13.0'],"['MaxPool2D', 'MaxPool', 'pool']",MaxPool2D,s,
61603,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61603.py,https://github.com/tensorflow/tensorflow/issues/61603,2.13.0,['2.13.0'],"['MaxPool2D', 'MaxPool', 'pool']",MaxPool2D,s,
61555,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61555.py,https://github.com/tensorflow/tensorflow/issues/61555,2.11.0,"['22.0', '1.0', '2.11.0']","['histogram_fixed_width', 'histogram']",histogram_fixed_width,s,
61530,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61530.py,https://github.com/tensorflow/tensorflow/issues/61530,2.11.0,"['22.0', '2.11.0']","['quantize_and_dequantize_v2', 'quantize_and_dequantize', 'Dequantize']",quantize_and_dequantize_v2,s,
61510,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61510.py,https://github.com/tensorflow/tensorflow/issues/61510,2.13.0,"['2.1', '2.13.0']","['matmul', 'MatMul']",matmul,v,1
61369,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61369.py,https://github.com/tensorflow/tensorflow/issues/61369,2.11.0,"['2.1', '2.8', '20.04.1']",['StringLookup'],StringLookup,s,
61257,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61257.py,https://github.com/tensorflow/tensorflow/issues/61257,2.12.0,['2.12.0'],"['LeakyRelu', 'LeakyReLU', 'ReLU']",LeakyReLU,s,
61163,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c61163.py,https://github.com/tensorflow/tensorflow/issues/61163,2.14.0,['2.14.0'],['assert_shapes'],assert_shapes,s,
60276,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c60276.py,https://github.com/tensorflow/tensorflow/issues/60276,2.13.0,"['03.4', '2.13.0', '20.0']","['gather', 'Gather']",Gather,s,
60201,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c60201.py,https://github.com/tensorflow/tensorflow/issues/60201,2.13.0,"['2.13.0', '53.4', '20.0']","['DepthwiseConv2dNativeBackpropInput', 'DepthwiseConv2dNative', 'DepthwiseConv2D']",DepthwiseConv2dNativeBackpropInput,s,
60195,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c60195.py,https://github.com/tensorflow/tensorflow/issues/60195,2.13.0,"['2.13.0', '13.5', '20.0']","['Conv3DBackpropFilterV2', 'Conv3DBackpropFilter', 'Conv3D']",Conv3DBackpropFilterV2,s,
60147,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c60147.py,https://github.com/tensorflow/tensorflow/issues/60147,2.13.0,['2.13.0'],"['ResourceScatterUpdate', 'ScatterUpdate']",ResourceScatterUpdate,s,
59181,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c59181.py,https://github.com/tensorflow/tensorflow/issues/59181,2.9.1,"['2.9.1', '20.0']","['RealDiv', 'real']",tf.raw_ops.RealDiv,s,
58749,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c58749.py,https://github.com/tensorflow/tensorflow/issues/58749,2.11.0,"['2.1', '1.0']","['convert_image_dtype', 'conv']",tf.image.convert_image_dtype,v,1
58699,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c58699.py,https://github.com/tensorflow/tensorflow/issues/58699,2.10.0,['2.1'],"['convert_image_dtype', 'conv']",tf.image.convert_image_dtype,v,1
58179,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c58179.py,https://github.com/tensorflow/tensorflow/issues/58179,2.9.0,"['2.9', '20.0']","['DenseToCSRSparseMatrix', 'dense', 'Dense']",tf.raw_ops.DenseToCSRSparseMatrix,s,
57935,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57935.py,https://github.com/tensorflow/tensorflow/issues/57935,2.11.0,"['2.11.0', '20.0']","['floor_divide', 'remainder', 'floor_div']",tf.experimental.numpy.floor_divide,s,
57897,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57897.py,https://github.com/tensorflow/tensorflow/issues/57897,2.11.0,"['18.04.4', '2.11.0']",['resize'],tf.image.resize,s,
57716,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57716.py,https://github.com/tensorflow/tensorflow/issues/57716,2.11.0,"['18.04.4', '2.11.0']","['unsorted_segment_min', 'segment_min', 'sort']",tf.math.unsorted_segment_min,s,
57713,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57713.py,https://github.com/tensorflow/tensorflow/issues/57713,2.11.0,"['18.04.4', '2.11.0']","['diag', 'Diag']",tf.linalg.diag,s,
57495,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57495.py,https://github.com/tensorflow/tensorflow/issues/57495,2.9,"['2.9', '20.0']","['Conv3DBackpropInputV2', 'Conv3DBackpropInput', 'Conv3D']",tf.raw_ops.Conv3DBackpropInputV2,s,
57489,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57489.py,https://github.com/tensorflow/tensorflow/issues/57489,2.9,"['2.9', '20.0']","['to_dense', 'dense', 'Dense']",tf.sparse.to_dense,s,
57450,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c57450.py,https://github.com/tensorflow/tensorflow/issues/57450,2.9.1,"['2.9.1', '20.0']","['Convolution2DTranspose', 'Convolution2D', 'transpose']",tf.keras.layers.Convolution2DTranspose,s,
55138,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/tf_cases/demo/c55138.py,https://github.com/tensorflow/tensorflow/issues/55138,2.7,"['2.7', '16.0']",['adjust_jpeg_quality'],tf.image.adjust_jpeg_quality,v,1
